description,category
There is a sewer lane under our house it doesn’t smell but has lots of plastic bags . Once a dog got a plastic  cover around its neck we got it removed by a rescuer ,Sewage
Garbage being dumped and burnt in the plot near the bus stop. People from bus stop and people living on the other side dumping garbage here.,Waste/Garbage
Its an open dump on the intersection of a residential area.,Waste/Garbage
Garbage burning causing heavy air pollution around here,Air
There's a garbage dump in open area.,Waste/Garbage
"Wires and cables dangling in the junction, near the turning towards 20th main road.",Streetlights
Garbage dump,Waste/Garbage
Garbage dump,Waste/Garbage
Dumping of garbage and burning,Waste/Garbage
Garbage dump,Waste/Garbage
Garbage dump,Waste/Garbage
Garbage dump on the road near to park,Waste/Garbage
The sign board ahead of 33rd A cross road Jayanagar has fallen down onto the road. It poses a threat to vehicles turning in and out of the by Lane.,Potholes
Streetlights not working in 33rd A crossroad. The street remains comparitively dark in the late hours of the day due various streetlights not functioning properly including the one reported,Streetlights
Street light is not working for 5 months now,Streetlights
Street light not working for 8 months,Streetlights
"The wires of the electric line is hanging down from the post and is simply hung around a tree. As it is in the footpath, it is not very safe for the pedestrians.",Electricity
There is a lot of fluctuation in voltage during morning hours.,Water
There are a lot of weeds being grown in the lake. Last year it was full of water.,Water
"There are no street lights in our layout. During the night, it becomes very difficult to walk",Streetlights
There are a lot of potholes in my locality roads. It makes the commuters pass through a difficult ride. There were minor accidents due to the bad roads .Hence I request that the repairs be taken.,Potholes
"There are no streetlights on the ESI ring road,leading to our locality The newcomers find it difficult to move through during night times",Streetlights
Street light not functional,Streetlights
Streetlight not working,Streetlights
Streetlight not working,Streetlights
"In our locality there are many potholes like this.
",Potholes
"There is a lot of potholes in a area called arasanatti,Hosur.It also causes minor accidents . We want these pot holes to be fixed.",Potholes
Feels irritating,Streetlights
Garbage dump near YFP painted wall. Sometimes gets cleared. Not permanent. Garbage spreads everywhere on the road.,Waste/Garbage
Burning of garbage next to road causing air pollution. Smoke all over the area at the signal. Burning plastic covers and fallen wood.,Air
Right next to. Mall and bus stop. It's smelly and a repeated problem,Waste/Garbage
Garden wASTE has been dumped ,Waste/Garbage
Garbage is dumped ,Waste/Garbage
Garbage on footpath,Waste/Garbage
Streetlight not working,Streetlights
Streetlight not working,Streetlights
Streetlight not working,Streetlights
Streetlight not working ,Streetlights
Streetlight not working ,Streetlights
Street lights not working,Streetlights
Street lights not working,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
In led panel only 2 led is working out of 18 leds ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Streetlight is not working ,Streetlights
Garbage being dumped on the road,Waste/Garbage
The garbage bin has been removed which makes people to dump the garbage in that open place,Waste/Garbage
People are burning waste and we can smell it,Air
Tree covered with unwanted cables. Unsafe to walk or stand. Waiting area for few people.,Streetlights
Garbage dumpex,Waste/Garbage
Streetlight is not working,Streetlights
The car is parked in the turning of the road,Traffic/Parking
Tap is leaking,Water
Garbage dumping near vehicle parking area. Very smelly and unhealthy for frequent users,Waste/Garbage
Garbage thrown next to park,Waste/Garbage
Garbage thrown here everyday,Waste/Garbage
Garbage thrown next to bbmp park,Waste/Garbage
Construction debris,Waste/Garbage
Garbage thrown here everyday,Waste/Garbage
Garbage thrown all over the place,Waste/Garbage
Garbage thrown on vacant site,Waste/Garbage
Garbage thrown in vacant plot,Waste/Garbage
"Garbage dumping on road, garbage collection truck parked on the road. Full road has bad smell. Construction waste, household wet-dry waste and also many cables hanging around in this area.",Waste/Garbage
"Near the park, a garbage truck is parked and it is full of mixed waste which is creating a stink, truck is not properly emptied, and waste is accumulated nearby as well",Waste/Garbage
Many people park in the wrong side road causing traffic ,Traffic/Parking
Garden wASTE is dumped ,Waste/Garbage
Broken coconut tree dumped here,Waste/Garbage
Garbage on footpath,Waste/Garbage
Test!! ,Streetlights
Unsegregated Garbage dumped in bsnl customer care  centre in jaynagar 4th block,Waste/Garbage
"There is a branch fallen from a tree and hanging on the electric wires. The weight of the branch could cut the wires, or fall on someone. Please take it off immediately.",Streetlights
Health hazard for children playing in the park,Waste/Garbage
Garbage dump on side of road,Waste/Garbage
Garbage dump on side of road,Waste/Garbage
A lot of garbage is being dumped along road ,Waste/Garbage
Unsegregated waste is being dumped on roadsides,Waste/Garbage
Waste is being  thrown on footpaths and is not cleared ,Waste/Garbage
Lots of smokers,Air
This pile of garbage is something nobody looks forward to waking up at...This is right in front of our apartment and is very horrible to look at...,Waste/Garbage
All of the street lights below the Mekhri Circle Underpass have stopped functioning,Streetlights
Light not switched on at night,Streetlights
Road flooded due to jammed drain,Water
For 250 metres there is water loggage on road.  Even for slight rains.,Water
Electricity shot circuit in the colony on the electricity pole....causing too much fluctuations which may lead to dangerous situations in ones home.,Streetlights
Continuous illegal dumping of garbage by people,Waste/Garbage
"Hi our problem is water is not coming properly for us

",Water
People in public washrooms don't flush thus there is smell.we have a idea of putting a senser in the flush which if water does not go over withen a minute it requests the person to flush .,Water
"A motion detected light , air conditioner and can break circuits of certain rooms where there is no motion detected has three extra modes.",Streetlights
It's smelly and stretched over the footpath,Waste/Garbage
Garbage thrown next to footpath,Waste/Garbage
Waste is thrown here from a shop and burnt,Waste/Garbage
Lots of garbage,Waste/Garbage
Garbage,Waste/Garbage
It's been cleaned but people keep putting waste here. It smells really bad,Waste/Garbage
Use a dustbin,Waste/Garbage
Swacch Bharat highway toilet locked ,Sewage
The road is irregular. Bikes have problem going on this and might fall,Potholes
This is the garbage dump right behind R T Nagar Police station. They clear the garbage once in a while but residents dump here often as they have no choice.,Waste/Garbage
The garbage dump behind R T Nagar post office. This is right next to Sharanya Children’s orphanage. Can be extremely harmful for residents and kids,Waste/Garbage
In the middle of the road. There is a big hole and it's filled with gravel. Very difficult to ride on this road,Potholes
Garbage thrown on main road. It's stinky and as you can see cows are eating plastic filled garbage,Waste/Garbage
It's overflowing and dirty water is all over the road,Potholes
It's huge dump. Not cleaned from a long time. It's stinking badly,Waste/Garbage
It's right next to dustbins. But it's coming on to road now.,Waste/Garbage
There is a big hole in the center and it's dangerous at night to ride,Potholes
"3 spots with heaps of dry leaves are there. People have started dumping garbage on these heaps of leaves. If left unchecked, can turn into a big menace.",Waste/Garbage
Street light needed bcoz this spot has a public tap,Streetlights
The garbage dump behind R T Nagar Police station. This is a regular nuisance to the residents in the surrounding houses,Waste/Garbage
Sewage waste dumped next to Adishwar Electronics showroom after cleaning by BWSSB. This waste has not been cleared by either BBMP or BWSSB.,Waste/Garbage
Garbage dumped behind R T Nagar post office. This is next to a children’s orphanage. Please clear it.,Waste/Garbage
Many residents in this area are forced to dump garbage on the roadside or behind vacant properties because the door to door garbage collection is extremely poor.,Waste/Garbage
Garbage,Waste/Garbage
Garbage,Waste/Garbage
Garbage,Waste/Garbage
Mixed waste being dumped by fruit vendor at this spot. No proper disposal system set up on road for these vendors.,Waste/Garbage
Garbage,Waste/Garbage
Garbage,Waste/Garbage
"People are parking in the wrong place .
And it is difficult to turn . And it is making traffic. And there is a EB post , drainage pot holes and a big stone ",Traffic/Parking
Garbage Dumping at Banashankari. Long time without proper cleaning from public authorities.,Waste/Garbage
The people of this location dump garbage here and it is indirectly polluting the surrounding. Please help to clear it and keep it clean. ALSO THERE IS NO GOVT DUSTBIN,Waste/Garbage
"There is garbage on the sides of the road, which not only ruins the look of the place but covers the footpath making the pedestrians walk on the road.",Waste/Garbage
There are wires hanging and dangling along this entire road.It can be very dangerous for pedestrians.,Streetlights
It's thrown here and hasn't been cleaned. ,Waste/Garbage
Garbage thrown outside dustbin. It is stinking ,Waste/Garbage
Pothole on side,Potholes
Pothole,Potholes
Footpath damaged,Water
Garbage dump,Waste/Garbage
Road damaged,Potholes
It's in Besamt Nagar beach. All dustbins are broken and waste is thrown all around.,Waste/Garbage
Although cleaning is on daily basis but walking bridge next to IITB main gate is full with leftout drink bottles is a daily issue here. Sometimes these glass bottles found in broken form on the steps.,Waste/Garbage
Garbage is thrown all around. Dustbin is full and the waste is thrown outside,Waste/Garbage
Drainage cover broken,Potholes
Pothole on side of road,Potholes
Damaged road,Potholes
Dangling wires,Streetlights
Huge Garbage dump entire footpath till 100 meters lng.,Waste/Garbage
Garbage dump on Footpath and burning,Waste/Garbage
Garbage and debris dumped on footpath,Waste/Garbage
"Tree branches dumped on footpaths

Entire road around more than 100 meters",Waste/Garbage
"Hotel food waste, Garbage and debris dumped on footpath bad smell and magets.",Waste/Garbage
Tree branches dumped on road and footpaths,Waste/Garbage
"This place had a very or decent road for vehicles, due to some work the BBMP has destroyed the road completely and for may days/months it's not fixing it. It is not good as there is a school nearby.",Potholes
This place is located in a residential area and people are dumping garbage without any concerns. Help me keep this area clean and apply strict rules.,Waste/Garbage
Dustbin is overflowing. It's not been cleaned. ,Waste/Garbage
Garbage dustbin full and construction waste is thrown next to it. Not cleared,Waste/Garbage
It's an residential area. Waste is thrown next to the road. ,Waste/Garbage
Lot of coconut shells thrown. ,Waste/Garbage
Construction waste thrown next to road,Waste/Garbage
"Important road in Whitefield, Imadihalli Road: The middle of the road has been dug out and filled with rocks, creating uneven roading and potholes.",Potholes
"Flooding along road, worsening traffic jam.",Water
There is a gap between the footpath and the road and there is garbage in it,Potholes
Garbage dump near temple. Dogs are eating the plastic.,Waste/Garbage
Garbage dump in roadside,Waste/Garbage
The sewage water overflow near right outside Al-Bek in R T Nagar. This is extremely unhygienic right outside an eatery. Happens almost every day.,Sewage
Lack of door to door garbage collection leads to roadside garbage dumps,Waste/Garbage
"As mentioned in complaint number 4437, another day when the sewage over flow was observed.",Sewage
Dumping in front of residential building in main toad,Waste/Garbage
Great job job done by Mr Byregowda to make the pond work complete,Potholes
Please clean the garbage,Waste/Garbage
Garbage thrown in vacant land,Waste/Garbage
Hanging Wires are there all across city,Streetlights
"Close to my home, there is a big bin for dumping garbage. But, people are throwing away garbage all around the bin, and never inside the bin. They feel very lazy to do that. It's really disgusting.",Waste/Garbage
Deep pothole on side of road,Potholes
Deep pothole on centre of road,Potholes
Garbage dump on footpath.,Waste/Garbage
Flooding during light rains,Water
The footpath in this area has been completely destroyed and is now causing citizens to walk along the car-filled roads which may end up causing an accident,Water
Just trying,Waste/Garbage
Logging,Water
Garbage bins are overflowing with stink,Waste/Garbage
"This is the small plant area I have out of my house 
This was littered by many people who are passing through since my house is in a main road 
They irresponsibly threw the garbage with my sight",Waste/Garbage
Garbage thrown by near by shops and houses,Waste/Garbage
Street lights completely damaged,Streetlights
Water not getting drained at outlet,Water
Deep potholes on centre of road,Potholes
Deep pothole in centre of road,Potholes
Road level not even.  Water collected at end of slope,Water
Garbage dump and open defecation,Waste/Garbage
Large cars are parked in wrong places hence metro lorry is unable to come,Traffic/Parking
A small hole  on roads which open due to the force of rainwater.closes due to spring.Has net for only water passage.Has censor to see amount of water collected,Water
In my area( mount road ) we face a huge dumping of garbage in vacant lot. Due to this we face different kinds of diseases formed by the insects and the flies in that garbage. Parking space is reduced,Waste/Garbage
As in our area(mount road) lot of garbage is being dumped in vacant lot. This causes a lot of problems to the public,Waste/Garbage
Thrown waste here. Not cleared,Waste/Garbage
Dustbin overflowing,Waste/Garbage
It has a heap of garbage all wet and dry mixed together and there are cows digging through the this heap. Not only this but there is also so much of smell which causes lots of inconvenience for people,Waste/Garbage
Small pothole next to manhole,Potholes
Garbage dumped on road and footpath blocking it,Waste/Garbage
Footpath blocked due to garbage dumped for weeks,Waste/Garbage
"Potholes at the footpath stretch between NCC apartment and Purva Venezia,  Yelahanka",Potholes
"The roads are very uneven laid .At some place a mountain of road is built
",Water
"People park vehicles on one corner of a narrow road making it difficult for other vehicles to move.
They even park their vehicles on the footpath making it difficult for people to commute and walk.",Traffic/Parking
"Hi, I am tussar Bohra studying in dav boys. In my locality there are very less plants n more wastes n the wastes are littering out of house. Government should keep dustbins for 2 or 3 houses. ",Waste/Garbage
Garbage collectors do not come and Collect the garbage at the correct time....they leave it till it it overflows...so the stink is becoming higher day by day.... flies start to come ...  ,Waste/Garbage
Now a days the air has been very polluted It has affected in many problems of day to day life,Air
"This is garbage dumped area is near Country Club, Sathnur Village. The odour was horrible n unbearable.. This black spot has been here for several days today.",Waste/Garbage
Vehicles have been parked in front of the gate. ,Traffic/Parking
Wrong parking of automobiles during the conduction of tution class has led to the complication of movement of people in the street from one place to other either by foot or by driving. ,Traffic/Parking
The garbage dumped here gives out very bad smell and has become home to flies ,Waste/Garbage
The localites first dump the garbage and then burn it to clear the space.,Waste/Garbage
Road repair work is done upto panjak medical store. They should complete road upto esteem mall,Potholes
Garbage overflowing and stink near Chettinadu Hatisree school. ,Waste/Garbage
Garbage is thrown all around. Its come on to road. And it's stinking,Waste/Garbage
"Encroachment of road by auto repairs
",Traffic/Parking
Construction debris,Waste/Garbage
There is a pile of garbage stacked when there is a garbage dump place just 100m ahead.,Waste/Garbage
There is a garbage bin but still the waste is all out.,Waste/Garbage
"There is over flow of garbage in our area
",Waste/Garbage
"In our area, there is a heavy rain. I am unhappy to see lots of water wasting by ending up in drainage lines. I kindly request our government to drill deep narrow tube wells nearby the roads.",Water
"Garbage through out everywhere
",Waste/Garbage
Unable to collect rainwater,Sewage
Stagnation of water after rain!,Water
Whenever it rains the rain water gets accumulated in puddles and the sewage gets mixed with it. It gets accumulated in puddles due to the poor and uneven condition of the road. ,Water
Whenever it rains the rain water gets accumulated in puddles on the road due to the poor and uneven condition of the road. ,Water
"Although daily, wage workers are cleaning the walking bridge, broken glasses are fell on on the bridge walkikg steps. ",Waste/Garbage
Couple of days many of us are scared without water,Water
"Corporation is not taking any further actions.
This has been reported more than 10 times
Place looks very shabby ????????",Waste/Garbage
"Near Hoodi lake, opposite Ankur Restaurant.",Potholes
The garbage is not being put in the dustbin and is dumped everywhere around the dustbin. ,Waste/Garbage
"A pile of garbage in front of kundalahalli lake. The water here is polluted,it has become a breeding place for mosquitoes.",Waste/Garbage
Lot of garbage right outside the general hospital jayanagar. The garbage has been lying here for days and it stinks too. How can we care for the patients in such an environment?,Waste/Garbage
The people are not throwing the garbage in the bins. They are always throwing it on the ground,Waste/Garbage
The people are dumping garbage on the ground as there are no garbage bins kept there,Waste/Garbage
"People just throw garbage ,do urine and made the place so dirty 
",Waste/Garbage
Open Garbage dump,Waste/Garbage
Overflowing dustbins,Waste/Garbage
There is garbage which has been dumped in the open land,Waste/Garbage
Garbage dumped in the corner of the footpath,Waste/Garbage
The biggest problem of Delhi are the manholes.  Saw this dirt near my office. ,Potholes
"We say we must plant trees to save environment but some people dumps here  and it has been accumulating a large garbage here .please take appropriate action 
",Waste/Garbage
This factory has dumped waste outside on the road,Waste/Garbage
Near the school compound wall in Nungambakkam is filled with garbage. People throw the garbage there.,Waste/Garbage
"A huge pile of garbage is lying on the road
A few cows eat that garbage which has plastic in it
Some even sleep on the garbage",Waste/Garbage
Please clean it .,Waste/Garbage
Open Dump causes pollution with Plastic and air. ,Waste/Garbage
Please clear the garbage near the government girls school.,Waste/Garbage
People's put plastics in the road.,Waste/Garbage
Their is a lot of air pollution,Air
"These dumps have not been cleared for a very long time and more of these are becoming common in our city! Not only do they smell bad and damage the environment, but these dumps also harm many animals.",Waste/Garbage
People should walk or go in cycle for nearby places.Use CNG gas. ,Air
Many accidents are happening because of less street lights ,Streetlights
People are throwing the garbage in vacant space. So I request to clear the garbage as soon as possible. It is very difficult to breathe ,Waste/Garbage
Garbage thrown here,Waste/Garbage
"Garbage strewn right across the pavement, piling on to the road.",Waste/Garbage
Varthur lake is highly contaminated through factory residues.This is also causing bad odour in its vicinity.,Sewage
Pavement virtually unusable with all the trash on it.,Waste/Garbage
Garbage dump created out of a pavement.,Waste/Garbage
"I have noticed this heep of garbage tht is not being
 cleaned and has been piling up everyday",Waste/Garbage
"Please clean this
",Waste/Garbage
There are three dustbins in that location but the garbages were thrown or dumped outside of it and this should taken as a serious issue .Where the Chennai corporation is not responding to this problem,Waste/Garbage
Dumping of waste has caused a bad view on the passage way of the lake,Waste/Garbage
There is a long potholes I  the main road where its difficult for two wheelers as it always a busy place . Due to this potholes it can slip the two wheelers and it may lead to an accident. ,Potholes
From past 10 days we are complainting there is no response ,Sewage
When the government have installed meters for autos.then why dont the autos follow them?why is the government not taking action?,Traffic/Parking
"What are the traffic police doing?when the bikers pass them without wearing helmet noticed?

",Traffic/Parking
Garbage are thrown nearby our house one one is not caring ,Waste/Garbage
Parked in the turning of the road,Traffic/Parking
"In this lane there is so much of Drainage waste, Construction material waste and Household dumping lying from past 6 months. Its continuously raising the disease alarm. ",Waste/Garbage
Dumping of garbage in vacant site. It is a very big issue. It stinks a lot. Very harmful for our health.,Waste/Garbage
Vechiles are not able to come easily ,Traffic/Parking
There is a drainage near our street and garbage lying there may go inside the drainage and cause problems,Waste/Garbage
"The
 sewage water is overflowing and leading tobad odour as well. ",Sewage
It's thrown all over the place. ,Waste/Garbage
It's a huge stretch of Garbage dump next to highway,Waste/Garbage
The bin is full and it's thrown next to it.,Waste/Garbage
Garbage dump. Filled with flies and cow was eating from there.,Waste/Garbage
Manhole has been partially opened for the past 3 months,Potholes
Garbage is being dumped next to the garbage can. And it acts as an breeding place for mosquitoes and also the plastic waste is eaten by goats ,Waste/Garbage
Waste water,Potholes
Garbage dumped has not been cleared     for the past 3 weeks ,Waste/Garbage
"Water is not drained properly in my society.
Dirty water is stagnant which also causes mosquitoes to breed.",Sewage
Please clean the road and keep a dustbin in every road,Waste/Garbage
Reduce using vehicles,Traffic/Parking
Put new roads by taking our old road,Potholes
"Water scarcity, no water in taps. ",Water
"There is no garbage dustbins here.people throw their garbages in land which may cause health hazards in future
",Waste/Garbage
Ice house bus stand opposite of course u could see  that the plastic is overflowed  and cows and other animals eat plastic and might lead to death . This is because there is no street  dustbin now .. ,Waste/Garbage
"If water is leaked water scarcity must be there 
",Water
"Opposite
 to Maruti Suzuki motors(Kalyani motors).
There is an empty site next to Venkateshwara steels, the open space in the front is completely filled with garbage and used as urinal site.",Waste/Garbage
If street lights are not there many peoples are slipped and getting hurt ,Potholes
Leakage of drainage water has flooded the entire road.,Potholes
"People are spliting in the road
",Waste/Garbage
Near my house there is a dustbin. It is not being cleaned or cleared.There are many mosquitos and so we tried to clean it but after sometime the thing happened.,Waste/Garbage
"It is because of water bore and ever house is doing it and we cannot even walk
",Traffic/Parking
"In front of house their are drums kept and mosquitoes are coming
",Water
"Sir, In this place there was a common dustbin but now there is no dustbin not only here. In every where there were dust bin is now having a God's  photo so people would not put garbage ",Waste/Garbage
