,index,description,category,civic_issue
104,105,Garbage dumped opposite to HSBC bank blocking footpath,Waste/Garbage,1
105,106,Grabage dumped out side shantipark on footpath ,Waste/Garbage,1
106,107,Garbage dump,Waste/Garbage,1
107,108,Waste dumping in the middle of the residential area,Waste/Garbage,1
108,109,There are 2-3 spots near RV college which are on the verge of becoming a dump yard. It should be look immediately and proper bio and recycle bins should be kept here.,Waste/Garbage,1
109,110,There is a ban on single use of plastic from 1 year now but still every shop keeper is using it specially the vegetable vendors. The only solution is we seize the factory which are producing this,Waste/Garbage,1
110,111,Garbage dumps all over either side of the road. Not cleaned or taken care of.,Waste/Garbage,1
111,112,Garbage dumps on either side of the road. Not cleaned,Waste/Garbage,1
112,113,Garbage dumped again in front of the temple,Waste/Garbage,1
113,114,Coconut branch on side of road,Waste/Garbage,1
114,115,There are many spots across Jayanagar where leaflets are lying for days. It is now slowly getting converted into dumpyard,Waste/Garbage,1
115,116,People throw waste here next to bus stop,Waste/Garbage,1
116,117,Open drainage. ,Sewage,1
117,118,Open drainage,Sewage,1
118,119,"Frequent garbage burning outside my home, when no one is home. Causes heavy air pollution and difficulty breathing for everyone in an already traffic heavy road.",Air,1
119,120,Garbage thrown on the side of the road,Waste/Garbage,1
120,121,Garbage dumped on side of road,Waste/Garbage,1
121,122,"Dead fish,  very smelly",Waste/Garbage,1
122,123,Dangling of wire on footpath,Streetlights,1
123,124,Just came across this heap of junk on my way. Nobody seems to care and people around are fine and living with it ,Waste/Garbage,1
124,125,Garbage bin overfilled,Waste/Garbage,1
125,126,Garbage dumped on side of road.  Burning happening on other side.,Waste/Garbage,1
126,127,Blackspot inside the park where Gandhi statue is there.,Waste/Garbage,1
127,128,Overflowing dustbin and garbage dump,Waste/Garbage,1
128,129,Blackspot not cleaned. Construction waste,Waste/Garbage,1
129,130,Large garbage mounds being burnt here causing a lot for air pollution.,Air,1
130,131,People throwing Garbage,Waste/Garbage,1
131,132,"In the recently constructed tendersure footpath, spending crores of rupees, the footpath is encroached by watermelon and fruit vendor. Not even an inch of space exists.

Please help clear.",Traffic/Parking,1
132,133,Recently constructed tendersure footpath is used by shops as parking lot in the stretch between modi hospital and Shankar mutt bus stop.,Traffic/Parking,1
133,134,"Recently constructed tendersure footpath is used by shops as parking lot in the stretch between modi hospital and Shankar mutt bus stop. Have complained several times to BTP on Facebook, but no use.",Traffic/Parking,1
134,135,Leaking sewage down the road. Drain is blocked.,Sewage,1
135,136,"This junction is heavily congested every evening between 6-8:30pm. No lane rules are followed, people drive in opposite lane and there is merging traffic.",Traffic/Parking,1
136,137,Road has around 6-7 pothole together.,Potholes,1
137,138,Garbage is dumped on this empty land. This is often burned causing lot of pollution . I opened a BBMP sahaya complaint 10828803 complaint closed as resolved without any action,Waste/Garbage,1
138,139,Waste inside the tree planter,Waste/Garbage,1
139,140,Garbage dumping on footpath,Waste/Garbage,1
140,141,Sewage leaking down the road. Very bad smell.,Sewage,1
141,142,Text text,Electricity,1
142,143,Garbage dump on empty vacant plot and serves as ground for open defecation and urination,Waste/Garbage,1
143,144,Wires dangling near to the tree,Streetlights,1
144,145,Garbage dump on side of road.  People also throwing home garbage here,Waste/Garbage,1
145,146,Garbage dump on side of road by residents,Waste/Garbage,1
146,147,Dumped outside BBMP park entrance,Waste/Garbage,1
147,148,Garbage dump in empty plot near micro arekere layout,Waste/Garbage,1
148,149,Garbage dumping. Health hazard to residents,Waste/Garbage,1
149,150,Garbage dump adjacent to Kplay schools,Waste/Garbage,1
150,151,Street light not working since 3 months. BBMP sahaya complaint no 10823530 was raised on jan 16 closed and updated resolved without actually resolving the issues.,Streetlights,1
151,152,"1. Garbage dump not picked by BBMP workers.
2. The truck is also empty and near to dump area.
3. It causes air pollution as waste is mixed.",Waste/Garbage,1
152,153,Garbage dump near metro construction in main roads,Waste/Garbage,1
153,154,Burning of garbage dump,Air,1
154,155,Garbage burning causing lot of air pollution on an already traffic heavy road.,Air,1
155,156,Garbage,Waste/Garbage,1
156,157,"Parking in places where people sit, in front of building, cleaning vehicle and letting sewage water, foul smell",Traffic/Parking,1
157,158,"Here, a trash bin is present, around which waste, which mainly  consists of plastic, is strewn all around. Cows feed on this plastic which could lead to problems. This also causes distress to people.",Waste/Garbage,1
158,159,Garbage,Waste/Garbage,1
159,160,Tree fell down,Air,1
160,161,Tree has fallen. Blocked the entire 20th main,Traffic/Parking,1
161,162,Tree clearance from the road. Blocking the road.,Waste/Garbage,1
162,163,Garbage burning causing excessive pollution on an already traffic heavy road.,Air,1
163,164,"Here, a trash bin used to be there earlier, after which it had been removed. People, who don't have any other go as the bin had been removed, have started dumping garbage on the ground.",Waste/Garbage,1
164,165,Dump near Play school,Waste/Garbage,1
165,166,"Dangerous manhole,  risk to life",Potholes,1
166,167,Garbage dump under the railway bridge.,Waste/Garbage,1
167,168,"Very poor and no cleaning 
",Air,1
168,169,In this area have two dustbin.in two also have a big hole.please solve this problem ,Waste/Garbage,1
169,170,There’s an empty site with lot of garbage,Waste/Garbage,1
170,171,There is a sewer lane under our house it doesn’t smell but has lots of plastic bags . Once a dog got a plastic  cover around its neck we got it removed by a rescuer ,Sewage,1
171,172,Garbage being dumped and burnt in the plot near the bus stop. People from bus stop and people living on the other side dumping garbage here.,Waste/Garbage,1
172,173,Its an open dump on the intersection of a residential area.,Waste/Garbage,1
173,174,Garbage burning causing heavy air pollution around here,Air,1
174,175,There's a garbage dump in open area.,Waste/Garbage,1
175,176,"Wires and cables dangling in the junction, near the turning towards 20th main road.",Streetlights,1
176,177,Garbage dump,Waste/Garbage,1
177,178,Garbage dump,Waste/Garbage,1
178,179,Dumping of garbage and burning,Waste/Garbage,1
179,180,Garbage dump,Waste/Garbage,1
180,181,Garbage dump,Waste/Garbage,1
181,182,Garbage dump on the road near to park,Waste/Garbage,1
182,183,The sign board ahead of 33rd A cross road Jayanagar has fallen down onto the road. It poses a threat to vehicles turning in and out of the by Lane.,Potholes,1
183,184,Streetlights not working in 33rd A crossroad. The street remains comparitively dark in the late hours of the day due various streetlights not functioning properly including the one reported,Streetlights,1
184,185,Street light is not working for 5 months now,Streetlights,1
185,186,Street light not working for 8 months,Streetlights,1
186,187,"The wires of the electric line is hanging down from the post and is simply hung around a tree. As it is in the footpath, it is not very safe for the pedestrians.",Electricity,1
187,188,There is a lot of fluctuation in voltage during morning hours.,Water,1
188,189,There are a lot of weeds being grown in the lake. Last year it was full of water.,Water,1
189,190,"There are no street lights in our layout. During the night, it becomes very difficult to walk",Streetlights,1
190,191,There are a lot of potholes in my locality roads. It makes the commuters pass through a difficult ride. There were minor accidents due to the bad roads .Hence I request that the repairs be taken.,Potholes,1
191,192,"There are no streetlights on the ESI ring road,leading to our locality The newcomers find it difficult to move through during night times",Streetlights,1
192,193,Street light not functional,Streetlights,1
193,194,Streetlight not working,Streetlights,1
194,195,Streetlight not working,Streetlights,1
195,196,"In our locality there are many potholes like this.
",Potholes,1
196,197,"There is a lot of potholes in a area called arasanatti,Hosur.It also causes minor accidents . We want these pot holes to be fixed.",Potholes,1
197,198,Feels irritating,Streetlights,1
198,199,Garbage dump near YFP painted wall. Sometimes gets cleared. Not permanent. Garbage spreads everywhere on the road.,Waste/Garbage,1
199,200,Burning of garbage next to road causing air pollution. Smoke all over the area at the signal. Burning plastic covers and fallen wood.,Air,1
200,201,Right next to. Mall and bus stop. It's smelly and a repeated problem,Waste/Garbage,1
201,202,Garden wASTE has been dumped ,Waste/Garbage,1
202,203,Garbage is dumped ,Waste/Garbage,1
203,204,Garbage on footpath,Waste/Garbage,1
204,205,Streetlight not working,Streetlights,1
205,206,Streetlight not working,Streetlights,1
206,207,Streetlight not working,Streetlights,1
207,208,Streetlight not working ,Streetlights,1
208,209,Streetlight not working ,Streetlights,1
209,210,Street lights not working,Streetlights,1
210,211,Street lights not working,Streetlights,1
211,212,Streetlight is not working ,Streetlights,1
212,213,Streetlight is not working ,Streetlights,1
213,214,Streetlight is not working ,Streetlights,1
214,215,Streetlight is not working ,Streetlights,1
215,216,Streetlight is not working ,Streetlights,1
216,217,Streetlight is not working ,Streetlights,1
217,218,Streetlight is not working ,Streetlights,1
218,219,Streetlight is not working ,Streetlights,1
219,220,In led panel only 2 led is working out of 18 leds ,Streetlights,1
220,221,Streetlight is not working ,Streetlights,1
221,222,Streetlight is not working ,Streetlights,1
222,223,Streetlight is not working ,Streetlights,1
223,224,Streetlight is not working ,Streetlights,1
224,225,Streetlight is not working ,Streetlights,1
225,226,Streetlight is not working ,Streetlights,1
226,227,Streetlight is not working ,Streetlights,1
227,228,Streetlight is not working ,Streetlights,1
228,229,Streetlight is not working ,Streetlights,1
229,230,Streetlight is not working ,Streetlights,1
230,231,Streetlight is not working ,Streetlights,1
231,232,Streetlight is not working ,Streetlights,1
232,233,Streetlight is not working ,Streetlights,1
233,234,Streetlight is not working ,Streetlights,1
234,235,Streetlight is not working ,Streetlights,1
235,236,Streetlight is not working ,Streetlights,1
236,237,Garbage being dumped on the road,Waste/Garbage,1
237,238,The garbage bin has been removed which makes people to dump the garbage in that open place,Waste/Garbage,1
238,239,People are burning waste and we can smell it,Air,1
239,240,Tree covered with unwanted cables. Unsafe to walk or stand. Waiting area for few people.,Streetlights,1
240,241,Garbage dumpex,Waste/Garbage,1
241,242,Streetlight is not working,Streetlights,1
242,243,The car is parked in the turning of the road,Traffic/Parking,1
243,244,Tap is leaking,Water,1
244,245,Garbage dumping near vehicle parking area. Very smelly and unhealthy for frequent users,Waste/Garbage,1
245,246,Garbage thrown next to park,Waste/Garbage,1
246,247,Garbage thrown here everyday,Waste/Garbage,1
247,248,Garbage thrown next to bbmp park,Waste/Garbage,1
248,249,Construction debris,Waste/Garbage,1
249,250,Garbage thrown here everyday,Waste/Garbage,1
250,251,Garbage thrown all over the place,Waste/Garbage,1
251,252,Garbage thrown on vacant site,Waste/Garbage,1
252,253,Garbage thrown in vacant plot,Waste/Garbage,1
253,254,"Garbage dumping on road, garbage collection truck parked on the road. Full road has bad smell. Construction waste, household wet-dry waste and also many cables hanging around in this area.",Waste/Garbage,1
254,255,"Near the park, a garbage truck is parked and it is full of mixed waste which is creating a stink, truck is not properly emptied, and waste is accumulated nearby as well",Waste/Garbage,1
255,256,Many people park in the wrong side road causing traffic ,Traffic/Parking,1
256,257,Garden wASTE is dumped ,Waste/Garbage,1
257,258,Broken coconut tree dumped here,Waste/Garbage,1
258,259,Garbage on footpath,Waste/Garbage,1
259,260,Test!! ,Streetlights,1
260,261,Unsegregated Garbage dumped in bsnl customer care  centre in jaynagar 4th block,Waste/Garbage,1
261,262,"There is a branch fallen from a tree and hanging on the electric wires. The weight of the branch could cut the wires, or fall on someone. Please take it off immediately.",Streetlights,1
262,263,Health hazard for children playing in the park,Waste/Garbage,1
263,264,Garbage dump on side of road,Waste/Garbage,1
264,265,Garbage dump on side of road,Waste/Garbage,1
265,266,A lot of garbage is being dumped along road ,Waste/Garbage,1
266,267,Unsegregated waste is being dumped on roadsides,Waste/Garbage,1
267,268,Waste is being  thrown on footpaths and is not cleared ,Waste/Garbage,1
268,269,Lots of smokers,Air,1
269,270,This pile of garbage is something nobody looks forward to waking up at...This is right in front of our apartment and is very horrible to look at...,Waste/Garbage,1
270,271,All of the street lights below the Mekhri Circle Underpass have stopped functioning,Streetlights,1
271,272,Light not switched on at night,Streetlights,1
272,273,Road flooded due to jammed drain,Water,1
273,274,For 250 metres there is water loggage on road.  Even for slight rains.,Water,1
274,275,Electricity shot circuit in the colony on the electricity pole....causing too much fluctuations which may lead to dangerous situations in ones home.,Streetlights,1
275,276,Continuous illegal dumping of garbage by people,Waste/Garbage,1
276,277,"Hi our problem is water is not coming properly for us

",Water,1
277,278,People in public washrooms don't flush thus there is smell.we have a idea of putting a senser in the flush which if water does not go over withen a minute it requests the person to flush .,Water,1
278,279,"A motion detected light , air conditioner and can break circuits of certain rooms where there is no motion detected has three extra modes.",Streetlights,1
279,280,It's smelly and stretched over the footpath,Waste/Garbage,1
280,281,Garbage thrown next to footpath,Waste/Garbage,1
281,282,Waste is thrown here from a shop and burnt,Waste/Garbage,1
282,283,Lots of garbage,Waste/Garbage,1
283,284,Garbage,Waste/Garbage,1
284,285,It's been cleaned but people keep putting waste here. It smells really bad,Waste/Garbage,1
285,286,Use a dustbin,Waste/Garbage,1
286,287,Swacch Bharat highway toilet locked ,Sewage,1
287,288,The road is irregular. Bikes have problem going on this and might fall,Potholes,1
288,289,This is the garbage dump right behind R T Nagar Police station. They clear the garbage once in a while but residents dump here often as they have no choice.,Waste/Garbage,1
289,290,The garbage dump behind R T Nagar post office. This is right next to Sharanya Children’s orphanage. Can be extremely harmful for residents and kids,Waste/Garbage,1
290,291,In the middle of the road. There is a big hole and it's filled with gravel. Very difficult to ride on this road,Potholes,1
291,292,Garbage thrown on main road. It's stinky and as you can see cows are eating plastic filled garbage,Waste/Garbage,1
292,293,It's overflowing and dirty water is all over the road,Potholes,1
293,294,It's huge dump. Not cleaned from a long time. It's stinking badly,Waste/Garbage,1
294,295,It's right next to dustbins. But it's coming on to road now.,Waste/Garbage,1
295,296,There is a big hole in the center and it's dangerous at night to ride,Potholes,1
296,297,"3 spots with heaps of dry leaves are there. People have started dumping garbage on these heaps of leaves. If left unchecked, can turn into a big menace.",Waste/Garbage,1
297,298,Street light needed bcoz this spot has a public tap,Streetlights,1
298,299,The garbage dump behind R T Nagar Police station. This is a regular nuisance to the residents in the surrounding houses,Waste/Garbage,1
299,300,Sewage waste dumped next to Adishwar Electronics showroom after cleaning by BWSSB. This waste has not been cleared by either BBMP or BWSSB.,Waste/Garbage,1
300,301,Garbage dumped behind R T Nagar post office. This is next to a children’s orphanage. Please clear it.,Waste/Garbage,1
301,302,Many residents in this area are forced to dump garbage on the roadside or behind vacant properties because the door to door garbage collection is extremely poor.,Waste/Garbage,1
302,303,Garbage,Waste/Garbage,1
303,304,Garbage,Waste/Garbage,1
304,305,Garbage,Waste/Garbage,1
305,306,Mixed waste being dumped by fruit vendor at this spot. No proper disposal system set up on road for these vendors.,Waste/Garbage,1
306,307,Garbage,Waste/Garbage,1
307,308,Garbage,Waste/Garbage,1
308,309,"People are parking in the wrong place .
And it is difficult to turn . And it is making traffic. And there is a EB post , drainage pot holes and a big stone ",Traffic/Parking,1
309,310,Garbage Dumping at Banashankari. Long time without proper cleaning from public authorities.,Waste/Garbage,1
310,311,The people of this location dump garbage here and it is indirectly polluting the surrounding. Please help to clear it and keep it clean. ALSO THERE IS NO GOVT DUSTBIN,Waste/Garbage,1
311,312,"There is garbage on the sides of the road, which not only ruins the look of the place but covers the footpath making the pedestrians walk on the road.",Waste/Garbage,1
312,313,There are wires hanging and dangling along this entire road.It can be very dangerous for pedestrians.,Streetlights,1
313,314,It's thrown here and hasn't been cleaned. ,Waste/Garbage,1
314,315,Garbage thrown outside dustbin. It is stinking ,Waste/Garbage,1
315,316,Pothole on side,Potholes,1
316,317,Pothole,Potholes,1
317,318,Footpath damaged,Water,1
318,319,Garbage dump,Waste/Garbage,1
319,320,Road damaged,Potholes,1
320,321,It's in Besamt Nagar beach. All dustbins are broken and waste is thrown all around.,Waste/Garbage,1
321,322,Although cleaning is on daily basis but walking bridge next to IITB main gate is full with leftout drink bottles is a daily issue here. Sometimes these glass bottles found in broken form on the steps.,Waste/Garbage,1
322,323,Garbage is thrown all around. Dustbin is full and the waste is thrown outside,Waste/Garbage,1
323,324,Drainage cover broken,Potholes,1
324,325,Pothole on side of road,Potholes,1
325,326,Damaged road,Potholes,1
326,327,Dangling wires,Streetlights,1
327,328,Huge Garbage dump entire footpath till 100 meters lng.,Waste/Garbage,1
328,329,Garbage dump on Footpath and burning,Waste/Garbage,1
329,330,Garbage and debris dumped on footpath,Waste/Garbage,1
330,331,"Tree branches dumped on footpaths

Entire road around more than 100 meters",Waste/Garbage,1
331,332,"Hotel food waste, Garbage and debris dumped on footpath bad smell and magets.",Waste/Garbage,1
332,333,Tree branches dumped on road and footpaths,Waste/Garbage,1
333,334,"This place had a very or decent road for vehicles, due to some work the BBMP has destroyed the road completely and for may days/months it's not fixing it. It is not good as there is a school nearby.",Potholes,1
334,335,This place is located in a residential area and people are dumping garbage without any concerns. Help me keep this area clean and apply strict rules.,Waste/Garbage,1
335,336,Dustbin is overflowing. It's not been cleaned. ,Waste/Garbage,1
336,337,Garbage dustbin full and construction waste is thrown next to it. Not cleared,Waste/Garbage,1
337,338,It's an residential area. Waste is thrown next to the road. ,Waste/Garbage,1
338,339,Lot of coconut shells thrown. ,Waste/Garbage,1
339,340,Construction waste thrown next to road,Waste/Garbage,1
340,341,"Important road in Whitefield, Imadihalli Road: The middle of the road has been dug out and filled with rocks, creating uneven roading and potholes.",Potholes,1
341,342,"Flooding along road, worsening traffic jam.",Water,1
342,343,There is a gap between the footpath and the road and there is garbage in it,Potholes,1
343,344,Garbage dump near temple. Dogs are eating the plastic.,Waste/Garbage,1
344,345,Garbage dump in roadside,Waste/Garbage,1
345,346,The sewage water overflow near right outside Al-Bek in R T Nagar. This is extremely unhygienic right outside an eatery. Happens almost every day.,Sewage,1
346,347,Lack of door to door garbage collection leads to roadside garbage dumps,Waste/Garbage,1
347,348,"As mentioned in complaint number 4437, another day when the sewage over flow was observed.",Sewage,1
348,349,Dumping in front of residential building in main toad,Waste/Garbage,1
349,350,Great job job done by Mr Byregowda to make the pond work complete,Potholes,1
350,351,Please clean the garbage,Waste/Garbage,1
351,352,Garbage thrown in vacant land,Waste/Garbage,1
352,353,Hanging Wires are there all across city,Streetlights,1
353,354,"Close to my home, there is a big bin for dumping garbage. But, people are throwing away garbage all around the bin, and never inside the bin. They feel very lazy to do that. It's really disgusting.",Waste/Garbage,1
354,355,Deep pothole on side of road,Potholes,1
355,356,Deep pothole on centre of road,Potholes,1
356,357,Garbage dump on footpath.,Waste/Garbage,1
357,358,Flooding during light rains,Water,1
358,359,The footpath in this area has been completely destroyed and is now causing citizens to walk along the car-filled roads which may end up causing an accident,Water,1
359,360,Just trying,Waste/Garbage,1
360,361,Logging,Water,1
361,362,Garbage bins are overflowing with stink,Waste/Garbage,1
362,363,"This is the small plant area I have out of my house 
This was littered by many people who are passing through since my house is in a main road 
They irresponsibly threw the garbage with my sight",Waste/Garbage,1
363,364,Garbage thrown by near by shops and houses,Waste/Garbage,1
364,365,Street lights completely damaged,Streetlights,1
365,366,Water not getting drained at outlet,Water,1
366,367,Deep potholes on centre of road,Potholes,1
367,368,Deep pothole in centre of road,Potholes,1
368,369,Road level not even.  Water collected at end of slope,Water,1
369,370,Garbage dump and open defecation,Waste/Garbage,1
370,371,Large cars are parked in wrong places hence metro lorry is unable to come,Traffic/Parking,1
371,372,A small hole  on roads which open due to the force of rainwater.closes due to spring.Has net for only water passage.Has censor to see amount of water collected,Water,1
372,373,In my area( mount road ) we face a huge dumping of garbage in vacant lot. Due to this we face different kinds of diseases formed by the insects and the flies in that garbage. Parking space is reduced,Waste/Garbage,1
373,374,As in our area(mount road) lot of garbage is being dumped in vacant lot. This causes a lot of problems to the public,Waste/Garbage,1
374,375,Thrown waste here. Not cleared,Waste/Garbage,1
375,376,Dustbin overflowing,Waste/Garbage,1
376,377,It has a heap of garbage all wet and dry mixed together and there are cows digging through the this heap. Not only this but there is also so much of smell which causes lots of inconvenience for people,Waste/Garbage,1
377,378,Small pothole next to manhole,Potholes,1
378,379,Garbage dumped on road and footpath blocking it,Waste/Garbage,1
379,380,Footpath blocked due to garbage dumped for weeks,Waste/Garbage,1
380,381,"Potholes at the footpath stretch between NCC apartment and Purva Venezia,  Yelahanka",Potholes,1
381,382,"The roads are very uneven laid .At some place a mountain of road is built
",Water,1
382,383,"People park vehicles on one corner of a narrow road making it difficult for other vehicles to move.
They even park their vehicles on the footpath making it difficult for people to commute and walk.",Traffic/Parking,1
383,384,"Hi, I am tussar Bohra studying in dav boys. In my locality there are very less plants n more wastes n the wastes are littering out of house. Government should keep dustbins for 2 or 3 houses. ",Waste/Garbage,1
384,385,Garbage collectors do not come and Collect the garbage at the correct time....they leave it till it it overflows...so the stink is becoming higher day by day.... flies start to come ...  ,Waste/Garbage,1
385,386,Now a days the air has been very polluted It has affected in many problems of day to day life,Air,1
386,387,"This is garbage dumped area is near Country Club, Sathnur Village. The odour was horrible n unbearable.. This black spot has been here for several days today.",Waste/Garbage,1
387,388,Vehicles have been parked in front of the gate. ,Traffic/Parking,1
388,389,Wrong parking of automobiles during the conduction of tution class has led to the complication of movement of people in the street from one place to other either by foot or by driving. ,Traffic/Parking,1
389,390,The garbage dumped here gives out very bad smell and has become home to flies ,Waste/Garbage,1
390,391,The localites first dump the garbage and then burn it to clear the space.,Waste/Garbage,1
391,392,Road repair work is done upto panjak medical store. They should complete road upto esteem mall,Potholes,1
392,393,Garbage overflowing and stink near Chettinadu Hatisree school. ,Waste/Garbage,1
393,394,Garbage is thrown all around. Its come on to road. And it's stinking,Waste/Garbage,1
394,395,"Encroachment of road by auto repairs
",Traffic/Parking,1
395,396,Construction debris,Waste/Garbage,1
396,397,There is a pile of garbage stacked when there is a garbage dump place just 100m ahead.,Waste/Garbage,1
397,398,There is a garbage bin but still the waste is all out.,Waste/Garbage,1
398,399,"There is over flow of garbage in our area
",Waste/Garbage,1
399,400,"In our area, there is a heavy rain. I am unhappy to see lots of water wasting by ending up in drainage lines. I kindly request our government to drill deep narrow tube wells nearby the roads.",Water,1
400,401,"Garbage through out everywhere
",Waste/Garbage,1
401,402,Unable to collect rainwater,Sewage,1
402,403,Stagnation of water after rain!,Water,1
403,404,Whenever it rains the rain water gets accumulated in puddles and the sewage gets mixed with it. It gets accumulated in puddles due to the poor and uneven condition of the road. ,Water,1
404,405,Whenever it rains the rain water gets accumulated in puddles on the road due to the poor and uneven condition of the road. ,Water,1
405,406,"Although daily, wage workers are cleaning the walking bridge, broken glasses are fell on on the bridge walkikg steps. ",Waste/Garbage,1
406,407,Couple of days many of us are scared without water,Water,1
407,408,"Corporation is not taking any further actions.
This has been reported more than 10 times
Place looks very shabby ????????",Waste/Garbage,1
